00c6cc4d-67f8-4e78-bec7-242e47d4be70,REFUND,62.46,2021-09-22T061904Z
2dfd5773-d888-44bd-8687-89764b6be72c,PURCHASE,57.44,2021-12-07T083516Z
3063ee87-1ebd-4475-acc7-36b612df3d8f,REFUND,25.98,2021-12-24T201227Z
f0b0f476-90d1-4e62-b310-e438dc002577,PURCHASE,12.32,2021-01-25T072114Z
a19f42a9-0120-4b85-9fcc-da8865fcec60,REFUND,16.44,2021-09-22T061904Z
77410ed6-b236-4df2-ae5b-0376c56774b0,PURCHASE,22.86,2021-09-22T061904Z
3f147dbe-7906-487e-b0ea-2ae53c6bc78a,REFUND,37.98,2021-09-22T061904Z
1079082e-d357-4d13-b260-2be294c837cf,PURCHASE,99.49,2021-09-22T061904Z
0fdc9a36-cc9c-499c-98bb-281e0e8dc4a7,REFUND,73.25,2021-09-22T061904Z
55e4814d-0175-464b-944f-3ab9182f3ed4,PURCHASE,96.12,2021-09-22T061904Z
